"dia","Declinación Solar","Radiación Solar","Hora Solar "
"313.00","-17.650037105626","4931.3566426889",""
"314.00","-17.913187969938","4931.5732650641",""
"315.00","-18.171030770057","4931.7868136171",""
"316.00","-18.423489101596","4931.9972250687",""
"317.00","-18.670488155702","4932.2044370695",""
"318.00","-18.911954741226","4932.4083882181",""
"319.00","-19.147817306407","4932.6090180794",""
"320.00","-19.378005960076","4932.8062672024",""
"321.00","-19.602452492367","4933.0000771379",""
"322.00","-19.821090394929","4933.190390456",""
"323.00","-20.033854880633","4933.3771507625",""
"324.00","-20.24068290277","4933.5603027165",""
"325.00","-20.441513173734","4933.739792046",""
"326.00","-20.636286183179","4933.9155655645",""
"327.00","-20.824944215662","4934.0875711865",""
"328.00","-21.007431367734","4934.255757943",""
"329.00","-21.183693564514","4934.4200759967",""
"330.00","-21.353678575709","4934.5804766566",""
"331.00","-21.517336031093","4934.7369123924",""
"332.00","-21.674617435428","4934.889336849",""
"333.00","-21.825476182841","4935.0377048596",""
"334.00","-21.969867570628","4935.1819724596",""
"335.00","-22.107748812505","4935.3220968994",""
"336.00","-22.239079051285","4935.4580366571",""
"337.00","-22.363819370984","4935.5897514509",""
"338.00","-22.481932808352","4935.7172022507",""
"339.00","-22.593384363829","4935.8403512902",""
"340.00","-22.698141011914","4935.9591620777",""
"341.00","-22.796171710951","4936.0735994069",""
"342.00","-22.887447412329","4936.1836293676",""
"343.00","-22.971941069087","4936.2892193555",""
"344.00","-23.049627643931","4936.3903380821",""
"345.00","-23.120484116652","4936.4869555837",""
"346.00","-23.184489490948","4936.5790432304",""
"347.00","-23.241624800647","4936.6665737348",""
"348.00","-23.291873115321","4936.7495211595",""
"349.00","-23.335219545311","4936.8278609255",""
"350.00","-23.371651246135","4936.901569819",""
"351.00","-23.401157422293","4936.9706259986",""
"352.00","-23.423729330469","4937.0350090013",""
"353.00","-23.439360282119","4937.0946997491",""
"354.00","-23.448045645454","4937.1496805543",""
"355.00","-23.449782846814","4937.1999351249",""
"356.00","-23.444571371428","4937.2454485695",""
"357.00","-23.432412763571","4937.2862074013",""
"358.00","-23.413310626098","4937.3221995428",""
"359.00","-23.387270619386","4937.3534143285",""
"360.00","-23.354300459651","4937.379842509",""
"361.00","-23.314409916663","4937.401476253",""
"362.00","-23.267610810851","4937.4183091499",""
"363.00","-23.213917009798","4937.4303362117",""
"364.00","-23.153344424139","4937.4375538747",""
"365.00","-23.085911002837","4937.43996",""
